Word	Category	WordClass	TranslationEng	SearchTermsEng	StatusEng	TranslationEpo	TranslationSpa	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	LexiliEstatus	TranslationFra	TranslationRus	TranslationZho
anda	root	n/f.nenoj	walk			marŝo, piediro; marŝi, piediri	caminata; caminar, andar						Portugalsa (anda), Espanisa (anda), Swahilisa (-enda, -anda)				
andesita	root	n	andesite			andezito, andesito	andesita						Englisa (andesite), Fransesa, Espanisa (andesita), Pilipinasa, Rusisa (андезит “andezit”), Doycisa (Andesit), Indonesisa, Vyetnamsa, Hindisa (एंडेसाइट “endesait”), Arabisa (أنديسايت “andisayt”), Telugusa (ఆండెసైట్ “andesait”), Turkisa (andezit), Parsisa (آندزیت “andezit”)				
andin	root	t	_**adj/adv**_ stable, firm			stabila, firma; stabile, firme	estable, firme						Putunhwa (安定 “āndìng”), Niponsa (安定 “antei”), Vyetnamsa (ổn định)				
Andora	root	n	_**n**_ Andorra		reviewed	Andoro	Andorra					dexa	Catalan (Andorra)	leferesmi			
anedota	root	n/f.oro.a	anecdote			anekdoto	anécdota						Englisa (anecdotal), Epsanisa (anécdota), Fransesa (anecdote), Rusisa (анекдот “anekdot”), Doycisa (Anekdote), Portugalsa (anedota), Italisa (aneddoto), Indonesisa (anekdot), Pilipinasa (anekdota), Turkisa (anekdot)				
angam	root	n	_**n**_ limb			membro (de korpo)	miembro (del cuerpo)					jismulogi	Indonesisa (anggota), Hindisa (अंग “ang”), Telugusa (అంగము “angamu”), Parsisa (اندام “andam”)				
Angola	root	n	_**n**_  Angola		reviewed	Angolo	Angola					dexa	Portugalsa (Angola)	leferesmi			
anima	root	n/f.oj	_**n**_ animation, anime, cartoon; _**v.tr**_ animate			animacio; animacii	animación, dibujo animado, anime; animar						Englisa (animation, animate), Espanisa (animación, animar), Fransesa (animation), Doycisa, Rusisa (анимация “animatsya”), Indonesisa (animasi), Pilipinasa (animasyon), Turkisa, Hindisa (एनिमेशन “enimexan”), Arabisa (أَنِمِي “animi”), Niponsa (アニメーション “animexon”, アニメ “anime”), Telugusa (యానిమేషన్ “yanimexan”), Hangusa (애니메이션 “enimeyxon”), Parsisa (انیمیشن “animeyxen”)				
anjen	root	t	_**adj/adv**_  safe, safely, secure, securely		reviewed	sekura; sekure	seguro						Putunhwa (安全 “ānquán”), Niponsa (安全 “anzen”), Hangusa (안전 “anjeon”)	leferesmi			
anjil	root	n	_**n**_ gospel, divine message		reviewed	evangelio, dia mesaĝo	evangelio, mensaje divino					dini	Arabisa (الإنجيل “al'iinjil”), Parsisa (انجیل “injil”), Indonesisa (injil), Swahilisa (injili), Turkisa (İncil), Doycisa (Engel, Evangelium), Englisa (angel), Espanisa (angel, evangelio), Fransesa (ange), Rusisa (ангел “angel”, Евангелие “Evangelie”)	leferesmi			
ankara	root	n/f.oro.b	anchor			ankro	ancla						Englisa (anchor), Espanisa (ancla, áncora), Fransesa (ancre), Rusisa (якорь “yakor”), Doycisa (Anker), Indonesisa (jangkar), Pilipinasa (angkla, angkora), Hindisa (लंगर “langar”, नंगर “nangar”), Arabisa (أَنْجَر “anjar”, الْأَنْجَر “alanjar”), Telugusa (లంగరు “langaru”), Vyetnamsa (لنگر “langar”), Swahilisa (nanga)				
ansya	root	n	_**n**_  anxiety, worry		reviewed	anksio	ansiedad, ansia, preocupación						Englisa (anxiety), Fransesa, Doycisa (ängst), Espanisa (ansia, ansiedad), Turkisa (anksyete)	leferesmi			
Antartiko	root	n	_**n**_ Antarctic (_region or ocean_)			Antarkta Oceano, Antarkta Regiono	región u océano antártico						Englisa (Antarctic), Fransesa (antarctique), Doycisa (Antarktis), Rusisa (антарктический “antarktičeskij”), Espanisa (antártico), Indonesisa (Antarktik), Pilipinasa (Antartiko), Turkisa (Antarktik)				
antelope	root	n	_**n**_ antelope			antilopo	antílope					hewan	Englisa (antelope), Espanisa (antílope), Fransesa (antilope), Rusisa (антилопа “antilopa”), Doycisa (Antilope), Indonesisa (Antelop), Pilipinasa (antilope), Turkisa (antilop), Parsisa (آنتلوپ “antelop”)				
