Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,StatusEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,LexiliEstatus,TranslationFra,TranslationRus,TranslationZho
beharemusi,derived,t,FALSE,indispensable,,reviewed,havenda; havende,indispensable,,,,,,be- + hare + -musi,leferesmi,,,
Belarussa,derived,n,FALSE,Belarusian (language),,reviewed,la belorusa (lingvo),bielorruso (_idioma_),,,,,basa,Belarus + -sa,leferesmi,,,
Belgili,derived,t,FALSE,Belgian,,reviewed,belga; belge,belga,,,,,,Belgi + -li,leferesmi,,,
Belgiyen,derived,n,FALSE,Belgian,,reviewed,belgo,belga (_persona_),,,,,,Belgi + -yen,leferesmi,,,
Belizeyen,derived,n,FALSE,Belizean (_person_),,reviewed,belizano,beliceño (_persona_),,,,,,Belize + -yen,leferesmi,,,
belomon,derived,n,FALSE,"single hair, strand of hair, strand of fur",,,"haro, felero","pelo, vello (_uno solo_)",,,,,,belo + -mon,,,,
belopul,derived,t,FALSE,"hairy, furry",,,"harplena, harhava, felplena; harplene","peludo, velludo",,,,,,pelo + -pul,leferesmi,,,
belubiyen,derived,n,FALSE,loved one,,reviewed,amato,amado,,,,,,be- + lubi + -yen,leferesmi,,,
bemedisyen,derived,n,FALSE,patient,,,kuracato,paciente,,,,,,be- + medis + -yen,,,,
Beninyen,derived,n,FALSE,Beninese (_person_),,reviewed,beninano,beninés (_persona_),,,,,,Benin + -yen,leferesmi,,,
benjili,derived,t,FALSE,"essential, inherent; essentially, inherently",,reviewed,"esenca, imanenta; esence","esencial, inherente; esencialmente, inherentemente",,,,,,benji + -li,leferesmi,,,
beokomusi,derived,t,FALSE,must-see,,reviewed,videnda; vidende,que hay que ver,,,,,,be- + oko + -musi,leferesmi,,,
betekal,derived,t,FALSE,childless,,reviewed,seninfana; seninfane,sin hijos,,,,,,bete + -kal,leferesmi,,,
bexorfobi,derived,n/f.oj,FALSE,get scared (of),,reviewed,"ektimo, timiĝo; ektimi, timiĝi",asustarse,,,,,,be- + xor- + fobi,leferesmi,,,
beyongupul,derived,t,FALSE,useful,,reviewed,utila; utile,útil,,,,,,be- + yongu + -pul,leferesmi,,,
bezedom,derived,n,FALSE,apiary,,reviewed,abelejo,"colmenar, apiario",,,,,,beze + -dom,leferesmi,,,
bezekaxa,derived,n,FALSE,beehive,,reviewed,abelujo,colmena,,,,,,beze + -kaxa,leferesmi,,,
bezelari,derived,n,FALSE,swarm of bees,"swarm of bees, swarm",reviewed,abelaro,enjambre (de abejas),,,,,,beze + -lari,leferesmi,,,
bezeyen,derived,n,FALSE,beekeeper,,reviewed,abelisto,"apicultor, colmenero, abejero",,,,,,beze + -yen,leferesmi,,,
bijamosem,derived,n,FALSE,spring,,reviewed,printempo,primavera,,,,,,bija + -mosem,leferesmi,,,
bimarcu,derived,n/f.nenoj,FALSE,"get sick, fall ill",,reviewed,malsaniĝo; malsaniĝi,enfermarse,,,,,,bimar + -cu,leferesmi,,,
bimarfil,derived,t,FALSE,sickly,,reviewed,malsanema; malsaneme,enfermizo,,,,,,bimar + -fil,leferesmi,,,
bimarya,derived,n,FALSE,"illness, disease",,reviewed,malsano,enfermedad,,,,,,bimar + -ya,leferesmi,,,
bimaryen,derived,n,FALSE,"patient, sick person",,reviewed,malsanulo,"paciente, persona enferma",,,,,,bimar + -yen,leferesmi,,,
bimaryendom,derived,n,FALSE,hospital,,reviewed,malsanulejo,hospital,,hospital,,,,bimar + -yen + -dom,leferesmi,,,
binandom,derived,n,FALSE,"asylum, refuge",,reviewed,rifuĝejo,"asilo, refugio",,,,,,binan + -dom,leferesmi,,,
binanyen,derived,n,FALSE,refugee,,reviewed,"rifuĝinto, rifuĝanto",refugiado,,,,,,binan + -yen,leferesmi,,,
bindetul,derived,n,FALSE,buckle,,reviewed,"buko, bindilo","hebilla, broche",,,,,,binde + -tul,leferesmi,,,
biologi,derived,n,FALSE,biology,,reviewed,biologio,biología,,,,,,bio + -logi,leferesmi,,,
biologiyen,derived,n,FALSE,biologist,,reviewed,biologiisto,biólogo,,,,,,bio + -logi + -yen,leferesmi,,,
bioyen,derived,n,FALSE,"life form, living organism, being",,reviewed,"vivaĵo, viva organismo, estulo","forma de vida, organismo",,,,,,bio + -yen,leferesmi,,,
biradom,derived,n,FALSE,"bar, pub, tavern; brewery",,reviewed,"bierejo, trinkejo, drinkejo, taverno; bierfarejo","bar, cantina, taberna, cervecería",,,,,,bira + -dom,leferesmi,,,
biradomyen,derived,n,FALSE,bartender,,reviewed,"bierejisto, trinkejisto, bufedisto, drinkejisto",barman,,,,,,bira + -dom + -yen,leferesmi,,,
bisnesyen,derived,n,FALSE,"businessman, businesswoman",,reviewed,komercisto,persona de negocios,,,,,,bisnes + -yen,leferesmi,,,
blokiible,derived,t,FALSE,"blockable, avoidable, preventable",,reviewed,"blokebla, barebla, evitebla; blokeble, bareble, eviteble",evitable,,,,,,bloku + -ible,leferesmi,,,
blokinenible,derived,t,FALSE,"unblockable, unavoidable, unpreventable, inevitable",,reviewed,"neblokebla, nebarebla, neevitebla; neblokeble, nebareble, neeviteble",inevitable,,,,,,bloki + nen- +  -ible,leferesmi,,,
boboya,derived,n,FALSE,stupidity,,reviewed,stulteco,estupidez,,,,,,bobo + -ya,leferesmi,,,
boboyen,derived,n,FALSE,idiot,,reviewed,stultulo,"bobo, tonto, idiota (_persona_)",,,,,,bobo + -yen,leferesmi,,,
bocanli,derived,t,FALSE,compensatory,,reviewed,kompensa; kompense,compensatorio,,,,,,bocan + -li,leferesmi,,,
bombaya,derived,n,FALSE,bombing,,reviewed,bombado,bombardeo,,,,,,bomba + -ya,leferesmi,,,
bonata,derived,n/f.nenoj,FALSE,welcome; be welcome,,reviewed,bonveno; esti bonvena; bonvenon,bienvenida; ser bienvenido; bienvenido(s),,,,,,bon- + ata,leferesmi,,,
bonatagi,derived,n/f.oj,FALSE,welcome,,reviewed,bonvenigo; bonvenigi,bienvenida; dar la bienvenida,,,,,,bon- + ata + -gi,leferesmi,,,
bonaxam,derived,n,FALSE,good evening,,reviewed,bonan vesperon,buenas tardes,,,,,intrelogalexi,bon- + axam,leferesmi,,,
bondin,derived,il,FALSE,good day,,,bonan tagon,buen día,,,,,,bon- + din,,,,
bongibe,derived,n/f.oro.a,FALSE,donation; donate,,reviewed,donaco; donaci,donación; donar,,,,,,bon- + gibe,leferesmi,,,
bonglu,derived,n/f.oro.a; il,FALSE,toast; (drink a) toast; cheers,,,tosto; tosti; sanon,brindis; salud,,,,,intrelogalexi,bon- + glu,,,,
boninsanli,derived,t,FALSE,humane; humanely,,reviewed,humana; humane,humano; humanamente,,,,,,bon- + insan + -li,leferesmi,,,
boninsansim,derived,t,FALSE,humane; humanely,,reviewed,humana; humane,humano; humanamente,,,,,,bon- + insan + -sim,leferesmi,,,
bonjiwa,derived,n/f.nenoj,FALSE,"welfare; live well, be well",,reviewed,bonfarto; bonfarti,"bienestar, calidad de vida; vivir bien",,,,,,bon- + jiwa,leferesmi,,,
bonjotay,derived,n,FALSE,well-being,,reviewed,bonstato,bienestar,,,,,,bon- + jotay,leferesmi,,,
bonkonedo,derived,t,FALSE,familiar,,,"familiara, bonkonata; familiare, bonkonate",familiar,,,,,,bon + kone + -do,,,,
bonlexi,derived,n,FALSE,euphemism,,reviewed,eŭfemismo,eufemismo,,,,,,bon- + lexi,leferesmi,,,
bonmorcu,derived,n,FALSE,euthanasia,,reviewed,eŭtanazio,eutanasia,,,,,,bon- + morcu,leferesmi,,,
bonnoce,derived,il,FALSE,good night,,reviewed,bonan nokton,buenas noches,,,,,intrelogalexi,bon- + noce,leferesmi,,,
bonnuru,derived,il,FALSE,good day,,reviewed,bonan tagon,buen día,,,,,intrelogalexi,bon- + nuru,leferesmi,,,
bonsoba,derived,n,FALSE,good morning,,reviewed,bonan matenon,buenos días,,,,,intrelogalexi,bon- + soba,leferesmi,,,
bonturi,derived,il,FALSE,bon voyage,,reviewed,bonan vojaĝon,buen viaje,,,,,intrelogalexi,bon- + turi,leferesmi,,,
bonxanse,derived,n,FALSE,(good) luck,"luck, good luck",reviewed,bonan ŝancon,buena suerte,,,,,intrelogalexi,bon- + xanse,leferesmi,,,
bonxansepul,derived,t,FALSE,"fortunate, fortunately, lucky, luckily",,reviewed,bonŝanca; bonŝance,afortunado; afortunadamente,,,,,,bon- + xanse + -pul,leferesmi,,,
bonya,derived,n,FALSE,goodness,,,boneco,bondad,,,,,,bon + -ya,,,,
bonyam,derived,il,FALSE,bon appetit,,reviewed,bonan apetiton,buen provecho,,,,,intrelogalexi,bon- + yam,leferesmi,,,
bonyen,derived,n,FALSE,"good person, good guy",,reviewed,bonulo,buena persona,,,,,,bon + -yen,leferesmi,,,
Borosa,derived,n,FALSE,"Boro, Bodo (language)",,,la bodoa (lingvo),"bodo, boro (_idioma_)",,,,,basa,Boro + -sa,,,,
Boroyen,derived,n,FALSE,"Boro, Bodo (person)",,,"bodoa homo, bodoo","bodo, boro (_persona_)",,,,,,Boro + -yen,,,,
bortokaljusu,derived,n,FALSE,orange juice,,reviewed,oranĝosuko,jugo de naranja,,,,,,bortakal + jusu,leferesmi,,,
bortokalsui,derived,n,FALSE,orangeade,,reviewed,oranĝakvo,"naranjada, agua de naranja",,,,,,bortokal + sui,leferesmi,,,
boyletora,derived,n,FALSE,boiler,,,"kaldrono, kaldronego, bolilego, bolilo","bóiler, calentador de agua, caldera",,,,,,boyle + tora,,,,
boyletul,derived,n,FALSE,kettle,,,"bolkruĉo, bolilo","tetera, hervidor",,,,,,boyle + tul,,,,
bozisa,derived,n/f.oro.a,FALSE,bleat,,reviewed,"kaprobleko, mekado; kaprobleki, meki",balido; balar,,,,,,bozi + -sa,leferesmi,,,
Brazilli,derived,t,FALSE,Brazilian,,reviewed,brazila,brasileño,,,,,,Brazil + -li,leferesmi,,,
Brazilyen,derived,n,FALSE,Brazilian,,reviewed,brazilano,brasileño (_persona_),,,,,,Brazil + -yen,leferesmi,,,
brilapul,derived,t,FALSE,"shiny, brilliant, brilliantly",,reviewed,brila; brile,brillante,,,,,,brila + -pul,leferesmi,,,
Britili,derived,t,FALSE,British,,reviewed,brita; brite,británico,,,,,,Briti + -li,leferesmi,,,
Britiyen,derived,n,FALSE,Brit,,reviewed,brito,británico (_persona_),,,,,,Briti + -yen,leferesmi,,,
bronzeli,derived,t,FALSE,(made of) bronze,"bronze, of bronze, made of bronze",reviewed,bronza; bronze,de bronce,,,,,,bronze + -li,leferesmi,,,
bucunli,derived,t,FALSE,supplementary; supplementarily,,reviewed,"suplementa, kompletiga; suplemente",suplementario; suplementariamente,,,,,,bucun + -li,leferesmi,,,
Budaismo,derived,n,FALSE,Buddhism,,reviewed,"budhismo, budaismo",budismo,,,,,,Buda + -ismo,leferesmi,,,
Budaista,derived,n,FALSE,Buddhist,,reviewed,"budhisto, budaisto",budista,,,,,,Buda + -ista,leferesmi,,,
bududin,derived,n,FALSE,Wednesday,,reviewed,merkredo,miércoles,,,,,din,Budu + -din,leferesmi,,,
bujotul,derived,n,FALSE,trap,,reviewed,kaptilo,trampa,,,,,,bujo + -tul,leferesmi,,,
bukado,derived,t,FALSE,open; openly,,reviewed,malferma; malferme,abierto,,,,,,buka + -do,leferesmi,,,
bukaxey,derived,n,FALSE,(an) opening,,reviewed,malfermaĵo,abertura,,,,,,buka + -xey,leferesmi,,,
Bulgarisa,derived,n,FALSE,Bulgarian (language),,reviewed,la bulgara (lingvo),búlgaro (_idioma_),,,,,basa,Bulgari + -sa,leferesmi,,,
Bulgariyen,derived,n,FALSE,Bulgarian (_person_),,reviewed,bulgaro,búlgaro (_persona_),,,,,,Bulgari + -yen,leferesmi,,,
bumabil,derived,t,FALSE,"explosive, explosively",,reviewed,eksplodpova; eksplodpove,"explosivo, detonable",,,,,,bum + -abil,leferesmi,,,
bumabilxey,derived,n,FALSE,explosive,,reviewed,eksplodaĵo,explosivo,,,,,,bum + -abil + -xey,leferesmi,,,
bumfil,derived,t,FALSE,"explosive, explosively",,reviewed,eksplodema; eksplodeme,"explosivo, que tiende a explotar",,,,,,bum + -fil,leferesmi,,,
bumgitul,derived,n,FALSE,detonator,,reviewed,"detonaciilo, eksplodigilo",detonador,,,,,,bum + -gi + -tul,leferesmi,,,
burcu,derived,n/f.nenoj,FALSE,"worsen, get worse, become worse",,reviewed,malboniĝo; malboniĝi,"empeorar, hacerse peor",,,,,,bur + -cu,leferesmi,,,
burdava,derived,n,FALSE,narcotic,,,drogaĉo,droga,,,,,,bur- + dava,,,,
burdoyday,derived,n/f.oj,FALSE,abuse,,reviewed,fitrakto; fitrakti,abuso,,,,,,bur- + doyday,leferesmi,,,
burdoydayfil,derived,t,FALSE,abusive,,reviewed,"fitraktema, fitrakta; fitrakteme",abusivo,,,,,,bur- + doyday + -fil,leferesmi,,,
burdoydayne,derived,t,FALSE,abusive,,reviewed,"fitraktanta, fitrakta; fitraktante",abusivo,,,,,,bur- + doyday + -ne,leferesmi,,,
burgi,derived,n/f.oj,FALSE,"worsen, make worse",,reviewed,malbonigo; malbonigi,"empeorar, hacer peor",,,,,,bur + -gi,leferesmi,,,
burinsanli,derived,t,FALSE,"inhuman, inhumane, inhumanely",,reviewed,"malhumana, nehumana; malhumane, nehumane",inhumano; inhumanamente,,,,,,bur- + insan + -li,leferesmi,,,
burinsansim,derived,t,FALSE,"inhuman, inhumane, inhumanely",,reviewed,"malhumaneca, nehumaneca; malhumanece, nehumanece",inhumano; inhumanamente,,,,,,bur- + insan + -sim,leferesmi,,,
burjumun,derived,n,FALSE,"curse, hex",,,"fisorĉo, malbeno; fisorĉi, malbeni","maleficio, maldición; maldecir",,,,,,bur- + jumun,,,,
burlexi,derived,n/f.nenoj,FALSE,"swearword; swear, curse",,reviewed,"sakraĵo, blasfemo; sakri, blasfemi","palabrota; decir palabrotas, maldecir",,,,,,bur- + lexi,leferesmi,,,
burnasacu,derived,n/f.nenoj,FALSE,"stink, stench, reek",,reviewed,"malbonodoro, odoraĉo, fetoro, stinko; malbonodori, odoraĉi, fetori, stinki",apestar,,,,,,bur- + nasa + -cu,leferesmi,,,
burnini,derived,n,FALSE,brat,,reviewed,infanaĉo,mocoso (niño),,,,,,bur- + nini,leferesmi,,,
burpala,derived,n/f.oro.a,FALSE,babble,,reviewed,parolaĉo; parolaĉi,"balbucear, balbucir, farfullar, barbotear",,,,,,bur- + pala,leferesmi,,,
burroya,derived,n/f.oro.a,FALSE,"nightmare; have a nightmare, have nightmares",,reviewed,"koŝmaro, inkubsonĝo, inkubo",pesadilla; tener una pesadilla,,,,,,bur- + roya,leferesmi,,,
bursolo,derived,t,FALSE,"lonely, lonesome",,reviewed,soleca; solece,"aislado, solitario",,,,,,bur- + solo,leferesmi,,,
bursoti,derived,n,FALSE,noise,,,bruo,ruido,,,,,,bur- + soti,,,,
burtyan,derived,n,FALSE,"stain, blemish",,reviewed,makulo,mancha,,,,,,bur- + tyan,leferesmi,,,
burxanse,derived,n,FALSE,bad luck,,reviewed,malbonŝanco,"mala suerte, infortunio",,,,,,bur- + xanse,leferesmi,,,
burxansepul,derived,t,FALSE,"unfortunate, unfortunately",,reviewed,malbonŝanca; malbonŝance,desafortunado; desafortunadamente,,,,,,bur- + xanse + -pul,leferesmi,,,
burya,derived,n,FALSE,"evil, badness",,reviewed,malboneco,maldad,,,,,,bur + -ya,leferesmi,,,
buryen,derived,n,FALSE,"villain, bad person, bad guy",,reviewed,"malbonulo, kanajlo",villano,,,,,,bur + -yen,leferesmi,,,
busdom,derived,n,FALSE,(bus) station,,,"busstacio, aŭtobusa stacio, busstacidomo",parada de autobús,,,,,,bus + dom,,,,
buterpul,derived,t,FALSE,buttery,,reviewed,butera; butere,mantecoso,,,,,,buter + -pul,leferesmi,,,
butersim,derived,t,FALSE,buttery,,reviewed,butera; butere,mantecoso,,,,,,buter + -sim,leferesmi,,,
bwawdom,derived,n,FALSE,"dog kennel, doghouse",,reviewed,"hundejo, hundodometo",casa de perro,,,,,,bwaw + -dom,leferesmi,,,
bwawsa,derived,n/f.oro.a,FALSE,bark,,reviewed,"bojo, hundbleko; boji, hundbleki",ladrido; ladrar,,,,,,bwaw + -sa,leferesmi,,,
Cadili,derived,t,FALSE,Chadian,,reviewed,ĉada,chadiano,,,,,,Cadi + -li,leferesmi,,,
Cadiyen,derived,n,FALSE,Chadian,,reviewed,"ĉadiano, ĉadano",chadiano (_persona_),,,,,,Cadi + -yen,leferesmi,,,
calunkursi,derived,n,FALSE,wheel chair,,reviewed,rulseĝo,silla de ruedas,,,,,,calun + kursi,leferesmi,,,
calyoli,derived,t,FALSE,vehicular,,reviewed,veturila; veturile,vehicular,,,,,,calyo + -li,leferesmi,,,
caredes,derived,num,FALSE,forty,,reviewed,kvardek,cuarenta,,,,,,care + -des,leferesmi,,,
caredesyum,derived,t,FALSE,fortieth,,reviewed,kvardeka,cuadragésimo,,,,,,care + des + -yum,leferesmi,,,
caregon,derived,n,FALSE,quadrilateral,,reviewed,"kvarangulo, kvarlatero",cuadrilátero,,,,,,care + gon,leferesmi,,,
careple,derived,t,FALSE,"quadruple, fourfold",,reviewed,kvarobla; kvaroble,cuádruple,,,,,,care + -ple,leferesmi,,,
careyum,derived,t,FALSE,fourth,,reviewed,kvara; kvare,cuarto,,,,,,care + -yum,leferesmi,,,
carmedo,derived,t,FALSE,"charmed, enchanted",,reviewed,ĉarmita; ĉarmite,encantado,,,,,,carme + -do,leferesmi,,,
carmene,derived,t,FALSE,"charming, enchanting",,reviewed,ĉarmanta; ĉarmante,encantador,,,,,,carme + -ne,leferesmi,,,
carmepul,derived,t,FALSE,"charming, enchanting",,reviewed,ĉarma; ĉarme,encantador,,,,,,carme + -pul,leferesmi,,,
catimaso,derived,n,FALSE,breast (_meat_),,reviewed,brustaĵo,pechuga (_carne_),,,,,,cati + -maso,leferesmi,,,
cel bax,derived,p,FALSE,"under (_""under to""_)",,reviewed,suben,hacia debajo de,,,,,,"cel, bax",leferesmi,,,
cel comen,derived,p jm,FALSE,"aside, to the side",,reviewed,flanken,hacia el lado de,,,,,,"cel, comen",leferesmi,,,
cel ex,derived,p,FALSE,"out (_""out to""_)",,reviewed,eksteren (al),hacia afuera de,,,,,,"cel, ex",leferesmi,,,
cel fronta,derived,p,FALSE,"forward, forwards, ahead",,reviewed,antaŭen,hacia adelante,,,,,,"cel, fronta",leferesmi,,,
cel in,derived,p,FALSE,into,,reviewed,"enen, en ___n",hacia adentro de,,,,,,"cel, in",leferesmi,,,
cel infer,derived,p,FALSE,down,,reviewed,malsupren,para abajo,,,,,,"cel, infer",leferesmi,,,
cel kapi,derived,p jm,FALSE,to the top,"to the top, top",reviewed,"al la supro, ĝis la supro",a la cima de,,,,,,cel kapi,leferesmi,,,
cel na,derived,jm,FALSE,in order to,"in order to, order",reviewed,por ___i,para,,,,,,"cel, na",leferesmi,,,
cel peda,derived,p jm,FALSE,to the bottom,"to the bottom, bottom",reviewed,"al la malsupro, ĝis la malsupro, al la fundo, ĝis la fundo","a pies de, al fondo de",,,,,,cel peda,leferesmi,,,
cel per,derived,p,FALSE,onto,,reviewed,sur ___n,hacia encima de,,,,,,"cel, per",leferesmi,,,
cel ruke,derived,p,FALSE,"backward, backwards",,reviewed,"dorsen, malantaŭen, posten",hacia atrás,,,,,,"cel, ruke",leferesmi,,,
cel super,derived,p,FALSE,up,,reviewed,supren,para arriba,,,,,,"cel, super",leferesmi,,,
celidi,derived,n/f.oj,FALSE,"access, reach, attain",,reviewed,"aliro, atingo; aliri, atingi",acceso; acceder a,,,,,,cel- + idi,leferesmi,,,
celidiible,derived,t,FALSE,"reachable, attainable, accessible",,reviewed,"alirebla, atingebla; alireble, atingeble","alcanzable, accesible",,,,,,cel- + idi + -ible,leferesmi,,,
celki,derived,l,FALSE,"so that, in order for ",,reviewed,por ke,para que,,,,,,cel + ki,leferesmi,,,
celvoka,derived,n/f.oj,FALSE,"invoke, call forth",,reviewed,alvoko; alvoki,"llamar, invocar",,,,,,cel- + voka,leferesmi,,,
celvokaible,derived,t,FALSE,"invocable, which may be invoked ",,reviewed,alvokebla; alvokeble,invocable,,,,,,cel- + voka + -ible,leferesmi,,,
cengon,derived,n,FALSE,"hectogon, hecatontagon, 100-gon",,reviewed,"centangulo, centlatero",hectágono,,,,,,cen + gon,leferesmi,,,
cennyan,derived,n,FALSE,century,,reviewed,"jarcento, cenjaro",siglo,,,,,,cen + nyan,leferesmi,,,
cenple,derived,t,FALSE,"centuple, hundredfold",,reviewed,centobla; centoble,céntuple,,,,,,cen + -ple,leferesmi,,,
censucu,derived,n/f.nenoj,FALSE,(become) mature,,reviewed,maturiĝo; maturiĝi,madurar,,,,,,censu + -cu,leferesmi,,,
centimetro,derived,n,FALSE,"centimeter, centimetre",,reviewed,centimetro,"centímetro, cm",Zentimeter,,,,,centi + metro,leferesmi,centimètre,сантиметр,
centroli,derived,t,FALSE,"central, centrally",,reviewed,centra; centre,central,,,,,,centro + -li,leferesmi,,,
cenyum,derived,t,FALSE,hundredth,,reviewed,centa,centésimo,,,,,,cen + -yum,leferesmi,,,
Cernagorali,derived,t,FALSE,Montenegrin,,reviewed,montenegra; montenegre,montenegrino,,,,,,Cernagora + -li,leferesmi,,,
Cernagorasa,derived,n,FALSE,Montenegrin (language),,reviewed,la montenegra (lingvo),montenegrino (_idioma_),,,,,basa,Cernagora + -sa,leferesmi,,,
Cernagorayen,derived,n,FALSE,Montenegrin (_person_),,reviewed,montenegrano,montenegrino (_persona_),,,,,,Cernagora + -yen,leferesmi,,,
Ceskili,derived,t,FALSE,Czech,,reviewed,ĉeĥa; ĉeĥe,checo,tschechisch,,,,,Ceski + -li,leferesmi,,,
Ceskisa,derived,n,FALSE,Czech (language),,reviewed,la ĉeĥa (lingvo),checo (_idioma_),,,,,basa,Ceski + -sa,leferesmi,,,
Ceskiyen,derived,n,FALSE,Czech ,,reviewed,ĉeĥo,checo (_persona_),,,,,,Ceski + -yen,leferesmi,,,
cibopul,derived,t,FALSE,fat,,reviewed,grasa; grase,gordo,,,,,,cibo + -pul,leferesmi,,,
Cileli,derived,t,FALSE,Chilean,,reviewed,ĉilia,chileno,,,,,,Cile + -li,leferesmi,,,
Cileyen,derived,n,FALSE,Chilean,,reviewed,ĉiliano,chileno (_persona_),,,,,,Cile + -yen,leferesmi,,,
cilindroli,derived,t,FALSE,cylindrical,,,cilindra; cilindre,cilíndrico,,,,,,cilindro + -li,,,,
cinonpul,derived,t,FALSE,"intelligent, smart; intelligently, smartly",,,inteligenta; inteligente,inteligente; inteligentemente,,,,,,cinon + -pul,,,,
cipenkal,derived,t,FALSE,"honest, honestly, sincere, sincerely, frank, frankly",,reviewed,"honesta, sincera, sentrompa; honeste, sincere, sentrompe","honesto, sincero, franco; honestamente, sinceramente, francamente",,,,,,cipen + -kal,leferesmi,,,
cipenkalya,derived,n,FALSE,"honesty, sincerity",,reviewed,"honesteco, sincereco, sentrompeco","honestidad, sinceridad, franqueza",,,,,,cipen + -kal + -ya,leferesmi,,,
cipenpul,derived,t,FALSE,dishonest,,reviewed,"malhonesta, trompa; malhoneste, trompe",deshonesto,,,,,,cipen + -pul,leferesmi,,,
cipenpulya,derived,n,FALSE,dishonesty,,reviewed,"malhonesteco, trompeco",deshonestidad,,,,,,cipen + -pul + -ya,leferesmi,,,
ciscu,derived,n/f.nenoj,FALSE,"get on this side of, come to this side of",,reviewed,veni al ĉi tiu flanko,hacerse a este lado,,,,,,cis + -cu,leferesmi,,,
cisgi ,derived,n/f.oj,FALSE,"put on this side of, bring on this side of",,reviewed,meti je ĉi tiun flankon,hacer a este lado,,,,,,cis + -gi,leferesmi,,,
cisjensili,derived,t,FALSE,cisgender,,,"maltransseksa, cisseksa, cisgenra",cisgénero,,,,,,cis- + jensi + -li,,,,
cisli,derived,t,FALSE,"of this side, cisgender",,reviewed,"de ĉi tiu flanko, cisgenra, cisseksa, maltransgenra, maltransseksa","de este lado, cis, cisgénero",,,,,,cis + -li,leferesmi,,,
cisya,derived,n/f.oro.a,FALSE,this side; be on this side (of),,reviewed,ĉi tiu flanko; esti je ĉi tiu flanko,este lado; estar de este lado de,,,,,,cis + -ya,leferesmi,,,
cokolateli,derived,t,FALSE,(of) chocolate,,reviewed,ĉokolada; ĉokolade,de chocolate,,,,,,cokolate + -li,leferesmi,,,
coloeskri,derived,n/f.oro.a,FALSE,scribble,,reviewed,"skribaĉo, malbonskribo; skribaĉi, malbonskribi",garabato; garabatear,,,,,,colo- + eskri,leferesmi,,,
colosoti,derived,n,FALSE,noise,,,bruo,ruido,,,,,,colo- + soti,,,,
coriyen,derived,n,FALSE,thief,,reviewed,"ŝtelanto, ŝtelisto",ladrón,,,,,,cori + -yen,leferesmi,,,
cosanlaye,derived,t,FALSE,"commendable, laudable, praiseworthy",,reviewed,"laŭdinda, komplimentinda, admirinda; laŭdinde, komplimentinde, admirinde","admirable, encomiable, laudable, loable, meritorio",,,,,,cosan + -laye,leferesmi,,,
cosanyen,derived,n,FALSE,flatterer ,,reviewed,"laŭdanto, komplimentanto, admiranto",adulador,,,,,,cosan + -yen,leferesmi,,,
cotebahari,derived,n,FALSE,low tide,,reviewed,malalta tajdo,marea baja,,,gaobahari,,,cote + bahari,leferesmi,,,
coteya,derived,n,FALSE,shortness,,reviewed,malalteco,pequeñez,,,gaoya,,,cote + -ya,leferesmi,,,
coteyen,derived,n,FALSE,short person,,reviewed,malaltulo,persona baja,,,,,,cote + -yen,leferesmi,,,
cuduible,derived,t,FALSE,"available, obtainable",,reviewed,"akirebla, ekhavebla, prenebla, akireble, ekhaveble, preneble","disponible, obtenible",,,,,,cudu + -ible,leferesmi,,,
cufamdo,derived,t,FALSE,offended,,reviewed,ofendita; ofendite,ofendido,,,,,,cufam + -do,leferesmi,,,
cufamfil,derived,t,FALSE,offensive,,reviewed,ofendema; ofendeme,ofensivo,,,,,,cufam + -fil,leferesmi,,,
cufampul,derived,t,FALSE,offensive,,reviewed,ofenda; ofende,ofensivo,,,,,,cufam + -pul,leferesmi,,,
cukili,derived,t,FALSE,cyclical; cyclically,,,cikla; cikle,cíclico; cíclicamente,,,,,,cuki + -li,,,,
Cungwoli,derived,t,FALSE,Chinese,,reviewed,ĉina,chino,,,,,,Cungwo + -li,leferesmi,,,
Cungwoyen,derived,n,FALSE,Chinese,,reviewed,ĉino,chino (_persona_),,,,,,Cungwo + -yen,leferesmi,,,
cuyoanjilyen,derived,n,FALSE,archangel,,reviewed,"ĉefanĝelo, arkianĝelo, arĥianĝelo",arcángel,,,,,,cuyo + anjil + -yen,leferesmi,,,
cuyoato,derived,n/f.nenoj,FALSE,"star (_acting_), be starring",,reviewed,ĉefrolo; ĉefroli,protagonización; protagonizar,,,,,,cuyo + ato,leferesmi,,,
cuyoato fal,derived,jm,FALSE,starring,,reviewed,"ĉefrolita de, ĉefrolante",protagonizado por,,,,,,"cuyo + ato, fal",leferesmi,,,
cuyoatoyen,derived,n,FALSE,"star (_actor_), protagonist",,reviewed,"ĉefaktoro, 
ĉefrolulo, 
protagonisto","protagonista, estrella",,,,,,cuyo + ato + -yen,leferesmi,,,
cuyodolo,derived,n,FALSE,main street,,reviewed,ĉefstrato,calle principal,,,,,,"cuyo, dolo",leferesmi,,,
cuyoxaher,derived,n,FALSE,capital (_city_),,reviewed,ĉefurbo,(ciudad) capital,,,,,,cuyo + xaher,leferesmi,,,
cuyoyam,derived,n,FALSE,"main course, main dish",,reviewed,ĉefmanĝo,platillo principal,,,,,,"cuyo, yam",leferesmi,,,
cuyoyawxe,derived,n,FALSE,master key,,reviewed,ĉefa ŝlosilo,llave maestra,,,,,,"cuyo, yawxe",leferesmi,,,
